video_id,sid_1,sid_2,sid_3,sid_4
0,9,25,7,6
1,3,22,10,26
2,9,30,15,30
3,9,30,15,11
4,12,11,21,8
5,15,24,18,2
6,16,30,26,19
7,19,2,27,25
8,2,27,21,13
9,3,21,18,31
10,9,22,24,1
11,15,25,1,28
12,9,30,28,11
13,5,4,7,15
14,9,31,7,14
15,3,28,29,21
16,31,22,23,12
17,11,10,3,31
18,26,25,5,19
19,14,12,28,0
20,13,30,7,0
21,7,26,22,30
22,4,9,29,29
23,18,20,4,25
24,16,22,8,26
25,31,13,4,19
26,9,22,23,28
27,4,9,21,8
28,13,17,1,4
29,2,27,28,14
30,24,14,18,6
31,12,14,24,17
32,18,24,26,14
33,24,9,26,0
34,9,28,18,4
35,21,16,1,2
36,12,26,1,2
37,23,1,12,30
38,2,29,22,12
39,1,12,23,3
40,20,24,5,14
41,0,7,0,16
42,11,2,10,17
43,5,22,11,24
44,26,24,13,26
45,7,0,27,30
46,5,28,30,28
47,16,7,24,9
48,6,5,17,8
49,30,8,8,16
50,11,13,22,17
51,26,18,14,31
52,11,26,0,0
53,17,3,15,18
54,2,8,12,10
55,8,18,30,6
56,24,18,0,15
57,31,7,31,21
58,18,9,11,21
59,25,28,30,2
60,4,16,31,9
61,0,0,10,28
62,18,21,18,28
63,12,6,16,3
64,16,13,24,0
65,22,14,14,10
66,31,24,18,11
67,25,25,3,1
68,24,9,4,5
69,9,30,15,11
70,16,20,17,29
71,25,3,18,21
72,18,25,11,21
73,19,10,29,8
74,27,6,24,11
75,15,26,24,31
76,2,12,21,17
77,13,25,10,10
78,1,21,29,18
79,18,28,11,28
80,31,5,25,5
81,5,5,28,6
82,22,7,13,17
83,6,31,4,5
84,9,0,18,26
85,31,9,24,15
86,11,31,0,26
87,4,6,8,6
88,8,5,7,4
89,11,14,23,0
90,13,13,30,9
91,18,19,31,3
92,26,28,14,4
93,6,31,9,16
94,15,13,17,11
95,19,22,26,4
96,31,24,10,5
97,5,5,30,1
98,25,28,15,1
99,11,0,17,22
100,21,29,22,6
101,1,1,21,13
102,3,5,3,26
103,9,25,7,6
104,28,11,16,25
105,26,15,23,30
106,24,9,5,4
107,24,9,0,4
108,16,26,31,15
109,8,19,16,29
110,26,6,24,0
111,11,15,15,6
112,31,26,28,21
113,9,19,24,0
114,26,25,11,18
115,9,22,28,28
116,18,20,24,31
